Unnamed: 0,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist
1664,0.0294,0.591,228347,0.649,0.0,3,0.133,-6.72,1,0.0417,90.00200000000001,4.0,0.48200000000000004,0,Fireflies,Owl City
1665,0.0314,0.5589999999999999,205933,0.882,1.7100000000000002e-05,3,0.605,-4.281000000000001,1,0.157,126.064,4.0,0.644,0,Good Time,Owl City
1666,0.0243,0.631,218093,0.838,0.0,11,0.0512,-6.817,0,0.0818,127.93799999999999,4.0,0.392,0,When Can I See You Again?,Owl City
1667,0.0002,0.55,213026,0.747,1.44e-06,2,0.113,-6.897,1,0.0334,128.014,4.0,0.185,0,Verge,Owl City
1668,0.0082,0.581,231707,0.526,0.00036899999999999997,11,0.113,-7.584,1,0.0265,166.15099999999998,4.0,0.551,0,Vanilla Twilight,Owl City
1734,0.0198,0.5710000000000001,199640,0.87,6.6e-06,8,0.0564,-3.877,0,0.0641,172.71599999999998,4.0,0.815,0,Bye Bye Bye,*NSYNC
1735,0.3,0.55,266293,0.563,0.0,2,0.122,-7.019,1,0.0313,166.00400000000002,4.0,0.462,0,This I Promise You - Radio Edit,*NSYNC
1736,0.0479,0.647,191280,0.87,0.0,0,0.0485,-4.702,0,0.0798,165.10299999999998,4.0,0.9059999999999999,0,It's Gonna Be Me,*NSYNC
1738,0.0743,0.754,199787,0.946,0.000391,8,0.401,-2.149,0,0.0403,112.042,4.0,0.865,0,I Want You Back - Radio Edit,*NSYNC
1739,0.0412,0.841,175520,0.866,0.0,11,0.212,-6.3420000000000005,1,0.11800000000000001,119.941,4.0,0.875,0,Pop - Radio Version,*NSYNC
1740,0.00799,0.685,209560,0.872,0.0,7,0.32299999999999995,-6.939,1,0.0321,110.046,4.0,0.8059999999999999,0,Tearin' up My Heart - Radio Edit,*NSYNC
1741,0.16,0.773,211907,0.8009999999999999,0.0,0,0.111,-5.562,1,0.0281,98.205,4.0,0.8,0,As Long as You Love Me,Backstreet Boys
1742,0.066,0.7979999999999999,232027,0.862,1.65e-06,11,0.168,-4.95,0,0.0336,100.031,4.0,0.893,0,Quit Playing Games (With My Heart),Backstreet Boys
1743,0.0877,0.527,287027,0.578,0.0,7,0.155,-6.0120000000000005,0,0.0283,162.11,3.0,0.35,0,I'll Never Break Your Heart,Backstreet Boys
1744,0.0563,0.7290000000000001,274827,0.561,0.0,1,0.0657,-7.162000000000001,1,0.027999999999999997,95.98100000000001,4.0,0.395,0,All I Have to Give,Backstreet Boys
1745,0.11699999999999999,0.6970000000000001,203600,0.856,0.0,10,0.287,-4.439,0,0.0752,104.20200000000001,4.0,0.732,0,The Call,Backstreet Boys
